,words,positions
379,سه,"[1157, 3170, 12257, 25177, 25178, 25179, 25180, 25181, 25182]"
380,سو,"[889, 8712]"
381,سیاحت,[7359]
382,سیاس,"[2399, 5261, 12103, 12106, 12109, 12112, 12115, 12118]"
383,سیدالشهدا,"[10672, 21985, 21993]"
384,سیس,"[1064, 3327, 7152, 15288, 15290, 15292, 15294]"
385,سیستم,"[2265, 6092]"
386,شامل,"[7091, 16995, 16998]"
387,شبانه,[11420]
388,شبکه,[6908]
389,شخص,"[3239, 13761]"
390,شد,"[504, 1571, 4519, 12402, 12403, 12404, 12405, 12406, 12407, 12408, 12409, 12410, 12411]"
391,شدن,"[8708, 17434, 17436]"
392,شدند,"[8709, 17436]"
393,شده_باشد,[]
394,شده‌اس,[7887]
395,شده‌اند,[509]
396,شرایط,"[10867, 21916]"
397,شرق,[174]
398,شروع,[12816]
399,شرک,"[9107, 18625, 18627]"
400,شما,"[169, 8502, 17349, 17351]"
401,شماره,"[8335, 17184]"
402,شمال,[170]
403,شناس,"[1392, 2799, 5610, 11290, 11293, 11296, 11299, 11302, 11305, 11308, 11311, 11314, 11317, 11320, 11323, 11326, 11329, 11332, 11335, 11338, 11341, 11344]"
404,شناسا,"[3876, 13881, 13885]"
405,شهرساز,[5573]
406,شهریه,"[1044, 10146]"
407,شهید,"[13342, 26728, 26731]"
408,شورا,[8459]
409,شوند,"[6558, 15230, 15233]"
410,شوید,[12558]
411,شیم,"[2072, 4151, 8598, 8600, 8602, 8604, 8606, 8608, 8610, 8612, 8614, 8616, 8618]"
412,صاحب,[8393]
413,صبح,[11970]
414,صد,"[7132, 15908, 15909, 15910]"
415,صدا,[8777]
416,صدور,"[10380, 23060]"
417,صنایع,"[2644, 6458, 6462, 6466, 6470, 6474, 6478]"
418,صنعت,"[1750, 5054, 10140]"
419,صوت,[13233]
420,صور,"[6672, 15160, 15162, 15164, 15166]"
421,ط,"[314, 1555, 4062, 8142, 16459]"
422,طبیع,"[2510, 7284, 20706, 20709, 20712]"
423,طراح,[3853]
424,طرح,"[8479, 17639]"
425,طرف,[12745]
426,طریق,"[10830, 22092, 22095]"
427,طول,[10921]
428,عال,"[1726, 8998, 18048, 18050, 18052, 18054, 18056, 18058, 18060]"
429,عتر,[7459]
430,عدد,"[1997, 5620]"
431,عرب,"[1616, 4645, 9592, 9594, 9596, 9598, 9600, 9602]"
432,عرف,"[1594, 3777, 12185, 12187, 12189]"
433,عرفان,"[1596, 3781, 3785, 3789]"
434,عروق,[11639]
435,عصب,[1929]
436,عضلان,[1936]
437,عضو,"[385, 6929, 15868]"
438,عطر,[4081]
439,عظیمیه,[1168]
440,علاقه‌مند,"[7747, 15940, 15948]"
441,علم,"[394, 8093, 16307, 16309, 16311, 16313, 16315, 16317, 16319, 16321, 16323]"
442,علو,"[2120, 4665, 9333, 9335, 9337, 9339, 9341, 9343, 9345, 9347, 9349, 9351, 9353, 9355, 9357, 9359, 9361, 9363, 9365, 9367, 9369, 9371, 9373, 9375, 9377, 9379, 9381, 9383, 9385, 9387, 9389, 9391, 9393, 9395, 9397, 9399, 9401, 9403, 9405]"
443,عمر,"[2960, 8560, 8562]"
444,عمره,[7396]
445,عمل,"[1966, 5560, 13824]"
446,عموم,"[1675, 4508, 10343, 21749, 21752, 21755, 21758, 21761, 21764]"
447,عنو,"[6346, 15081, 15083]"
448,عکس,[6476]
449,غدد,[11670]
450,غذا,"[5316, 10659, 24254, 24256, 24258, 24260]"
451,غذاخور,"[13598, 27235]"
452,غیرانتفاع,[12707]
453,غیردولت,[107]
454,ف,"[425, 1106, 2485, 5052, 10264, 20566]"
455,فارس,"[1559, 3139, 8022, 8025, 8028, 8031]"
456,فر,"[2615, 5414, 10870, 22001, 22002, 22003, 22004, 22005, 22006, 22007, 22008, 22009, 22010, 22011, 22012, 22013, 22014, 22015, 22016]"
457,فرآورده,"[2620, 8081]"
458,فرم,"[8329, 19461]"
459,فرهنگ,"[7596, 15303, 15307, 15311, 15315, 15319, 15323, 15327]"
460,فصلنامه,[8552]
461,فضا,[752]
462,فعال,"[7272, 14943, 14946, 14949, 14952, 14955, 14958]"
463,فعالیت,"[7274, 14947, 14952, 14957, 14962, 14967]"
464,فقط,[8840]
465,فقه,"[3147, 8135]"
466,فلسفه,"[2164, 5374, 5378]"
467,فن,"[4309, 11182, 23224]"
468,فناور,[4312]
469,فهمیده,[13393]
470,فوتبال,[14062]
471,فوق‌برنامه,"[7289, 14598]"
472,فیزیوتراپ,[11567]
473,فیزیولوژ,"[1900, 3818, 7861, 7868, 7875, 7882, 7889, 7896, 7903, 7910]"
474,فیزیک,"[2091, 5722, 5726, 5730, 5734, 5738]"
475,فیل,[7143]
476,قابل,"[12430, 25569]"
477,قدر,[2239]
478,قر,"[216, 856, 2980, 6092, 13543, 13544, 13545, 13546, 13547]"
479,قرآن,"[2126, 7102, 14555]"
480,قرار,"[218, 860, 11192]"
481,قضا,[5187]
482,قطعه,[6472]
483,قلب,[11632]
484,قیم,[9786]
485,لابراتوار,"[6951, 13936]"
486,لاتین,"[6325, 12692]"
487,لاز,"[8436, 18757]"
488,لینک,[12517]
489,م,"[20, 73, 153, 314, 632, 1308, 2659, 5331, 10682, 21365]"
490,مادر,[11692]
491,مال,"[170, 1168, 2925, 8024, 17206, 17208, 17210, 17212]"
492,ماما,"[2737, 8022, 19698]"
493,ماه,"[8537, 17791, 17793, 17795, 17797]"
494,ماهنامه,[8541]
495,مبان,"[3154, 8149]"
496,مبلغ,"[6520, 16373]"
497,متالورژ,"[2296, 7936]"
498,متالوژ,[5916]
499,متخصص,[11399]
500,مترجم,"[4891, 9845]"
501,مترو,[12121]
502,متنوع,[9779]
503,مثل,[2762]
504,مجاز,"[8501, 20721, 20724, 20727, 20730]"
505,مجتمع,"[352, 6564, 18421, 18425, 18429, 18433, 18437]"
506,مجر,[12446]
507,مجلل,[13182]
508,مجله,[6353]
509,مجموع,"[6274, 20369, 20373]"
510,مجموعه,"[14096, 28216]"
511,مجهز,"[6083, 17873, 17876, 17879]"
512,مجوز,"[12685, 25467]"
513,محصول,"[2457, 6420, 6424]"
514,محل,[13958]
515,مختلف,"[425, 11924, 25219]"
516,مخدو,[10436]
517,مخصوص,[13710]
518,مد,"[1116, 2813, 5793, 14171, 14172, 14173, 14174, 14175, 14176, 14177, 14178, 14179, 14180, 14181, 14182, 14183, 14184, 14185, 14186, 14187, 14188, 14189, 14190, 14191, 14192, 14193, 14194, 14195, 14196]"
519,مدارس,"[12649, 25346, 25350, 25354]"
520,مددکار,[10631]
521,مدرس,[1118]
522,مدیر,"[1699, 3413, 7232, 15612, 15615, 15618, 15621, 15624, 15627, 15630, 15633, 15636, 15639, 15642, 15645, 15648, 15651, 15654]"
523,مذهب,[7517]
524,مراجعه,[11069]
525,مراس,"[7410, 14915, 14918]"
526,مراکز,[546]
527,مربوطه,[11143]
528,مرد,[11503]
529,مرکز,"[6197, 13383, 13386, 13389, 13392, 13395, 13398]"
530,مسئول,"[7900, 16286]"
531,مسائل,[2902]
532,مسابق,"[7446, 17578]"
533,مشاهده,[12437]
534,مشاوره,"[5146, 15628, 15633, 15638]"
535,مشغول,[288]
536,مشکل,[10516]
537,مصوب,[8590]
538,مطالعه,[8321]
539,مطبوع,[5908]
540,مطهر,[13508]
541,معارف,"[2107, 4256, 4260, 4264, 4268, 4272]"
542,معاون,"[9037, 18597, 18601, 18605]"
543,معتبر,[9006]
544,معدن,[3714]
545,معرف,[8408]
546,معمار,"[2310, 7867]"
547,مفقود,[10446]
548,مقاطع,"[1242, 2597, 2601]"
549,مقاله,[9000]
550,مقرر,"[10265, 21379]"
551,مقطع,[12925]
552,مل,"[1966, 4793, 11884, 11885, 11886, 11887, 11888, 11889, 11890, 11891, 11892]"
553,منابع,"[2505, 5041, 11866, 25283, 25287, 25291, 25295]"
554,مناسب,"[761, 10554, 24632]"
555,منتشر,[8617]
556,منطقه,"[9400, 19547]"
557,منظ,"[8659, 18956, 18958, 18960]"
558,منظور,"[10299, 20800, 20804]"
559,مهندس,"[1772, 4000, 9229, 9233, 9237, 9241, 9245, 9249, 9253, 9257, 9261, 9265, 9269, 9273, 9277, 9281, 9285, 9289, 9293, 9297, 9301, 9305, 9309, 9313, 9317, 9321, 9325, 9329, 9333, 9337, 9341]"
560,مواد,"[2303, 6173, 6176, 6179, 6182]"
561,موجود,"[6104, 12542, 12546]"
562,موعد,[11109]
563,موقع,[12301]
564,مولکول,"[3644, 7600]"
565,مکان,"[3423, 7269, 19577, 19580, 19583, 19586, 19589, 19592, 19595, 19598, 19601, 19604]"
566,مکانیک,"[3425, 7273, 7278, 7283]"
567,میانگین,"[324, 9305]"
568,میه,"[1168, 11084]"
569,میوه,[4142]
570,میکروبیولوژ,"[2066, 5820, 5830]"
571,می‌باشند,"[306, 7567, 15607]"
572,می‌تو,"[6536, 13860, 13864, 13868, 13872, 13876, 13880, 13884, 13888, 13892, 13896, 13900]"
573,می‌توانند,"[6540, 14316, 14324, 14332, 14340, 14348, 14356, 14364, 14372]"
574,می‌توانید,[12504]
575,می‌دهد,[6137]
576,می‌دهند,[13792]
577,می‌شود,"[6696, 14839, 14844, 14849]"
578,می‌شوند,[8672]
579,می‌نماید,[10883]
580,می‌نمایند,[9514]
581,می‌پذیرد,[9591]
582,می‌کند,[9059]
583,می‌کنند,[11233]
584,ناپیوسته,"[1426, 2880, 8570, 8577]"
585,نبا,"[4389, 13216]"
586,نر,"[2272, 8205, 17576, 17577, 17578, 17579, 17580, 17581, 17582]"
587,نزدیک,"[461, 12208]"
588,نسب,"[9354, 20472]"
589,نشدند,[8727]
590,نشر,"[8151, 16358, 16360, 16362, 16364, 16366, 16368, 16370]"
591,نشریه,"[8358, 16809, 16813, 16817, 16821]"
592,نظا,"[793, 11042]"
593,نظار,[10250]
594,نظرآباد,[1306]
595,نف,"[5522, 18739, 18740, 18741, 18742, 18743]"
596,نفر,"[13218, 26584, 26586, 26588, 26590]"
597,نقشه,[5536]
598,نمایشگاه,[7536]
599,نمایند,"[7576, 15512, 15517, 15522, 15527, 15532, 15537, 15542]"
600,نمایندگ,[7577]
601,نمره,[8986]
602,نمود,"[7561, 20398, 20401]"
603,نمودن,[12838]
604,نمونه,[8743]
605,نهاد,"[1012, 8581]"
606,نهج‌البلاغه,[7480]
607,نژاد,"[2335, 4689, 4692]"
608,نیز,[11188]
609,ه,"[9, 63, 132, 282, 573, 1161, 2329, 4659, 9510, 19047]"
610,هزار,"[240, 979]"
611,هزینه,[9137]
612,هستند,[12021]
613,هشتگرد,[1315]
614,هفته‌نامه,[8532]
615,هفتگ,[13832]
616,هماهنگ,"[9256, 18804, 18809]"
617,همایش,[13277]
618,همراه,[7154]
619,همه,"[10645, 24379]"
620,همه‌روزه,[10650]
621,همچنین,"[6337, 13042, 26365, 26370, 26375, 26380, 26385]"
622,همکار,[7655]
623,هم‌اکنون,[12409]
624,هندسه,[2013]
625,هنر,"[7544, 15257, 15259, 15261, 15263]"
626,هنرمند,[7766]
627,هکتار,[11899]
628,هیئ,[389]
629,و,"[23, 59, 142, 320, 647, 1301, 2609, 5226, 10489, 20989]"
630,وا,"[24, 108, 248, 735, 1517, 3181, 6410, 12921, 26053, 26054, 26055, 26056, 26057, 26058, 26059, 26060, 26061, 26062, 26063, 26064, 26065, 26066, 26067, 26068, 26069, 26070, 26071, 26072, 26073, 26074, 26075, 26076, 26077, 26078, 26079, 26080, 26081, 26082, 26083, 26084, 26085, 26086, 26087, 26088, 26089, 26090, 26091, 26092, 26093, 26094, 26095, 26096, 26097, 26098, 26099, 26100, 26101, 26102, 26103, 26104, 26105, 26106, 26107, 26108, 26109, 26110, 26111, 26112, 26113, 26114, 26115, 26116, 26117, 26118, 26119, 26120, 26121, 26122, 26123, 26124, 26125, 26126, 26127, 26128, 26129, 26130, 26131, 26132, 26133, 26134, 26135, 26136, 26137, 26138]"
631,وابسته,"[11340, 24000, 24005, 24010]"
632,واجد,"[10861, 21904]"
633,واحد,"[26, 112, 254, 743, 1601, 7634, 15647, 15650, 15653, 15656, 15659, 15662, 15665, 15668, 15671, 15674, 15677, 15680, 15683, 15686, 15689, 15692, 15695, 15698, 15701, 15704, 15707, 15710, 15713, 15716, 15719, 15722]"
634,واحدکرج,[12914]
635,وادب,[3040]
636,وارد,[12526]
637,واریز,[9848]
638,وبیماری,[2719]
639,وحدیث,[3120]
640,ور,"[316, 686, 1522, 3310, 6643, 13315, 26722, 26723, 26724, 26725, 26726, 26727, 26728, 26729, 26730, 26731, 26732, 26733, 26734, 26735, 26736, 26737, 26738, 26739, 26740, 26741, 26742, 26743, 26744, 26745, 26746, 26747, 26748, 26749, 26750, 26751, 26752, 26753, 26754, 26755, 26756, 26757, 26758, 26759, 26760, 26761, 26762, 26763, 26764, 26765, 26766, 26767, 26768, 26769, 26770, 26771, 26772, 26773, 26774, 26775, 26776, 26777, 26778, 26779, 26780, 26781, 26782, 26783, 26784, 26785, 26786, 26787, 26788, 26789, 26790, 26791, 26792, 26793, 26794, 26795, 26796, 26797, 26798, 26799, 26800, 26801, 26802, 26803, 26804, 26805, 26806, 26807, 26808, 26809, 26810, 26811, 26812, 26813, 26814, 26815, 26816, 26817, 26818, 26819, 26820, 26821]"
641,ورز,"[1789, 3626, 7535, 17509, 17511, 17513, 17515, 17517, 17519, 17521, 17523, 17525, 17527, 17529, 17531, 17533, 17535, 17537, 17539, 17541, 17543, 17545, 17547, 17549, 17551, 17553, 17555, 17557, 17559, 17561, 17563, 17565, 17567, 17569, 17571, 17573, 17575, 17577, 17579, 17581, 17583, 17585, 17587, 17589, 17591, 17593, 17595, 17597, 17599, 17601, 17603, 17605, 17607, 17609, 17611]"
642,ورزش,"[1790, 3628, 8668, 18643, 18646, 18649, 18652, 18655, 18658, 18661, 18664, 18667, 18670, 18673, 18676, 18679, 18682, 18685, 18688, 18691, 18694, 18697, 18700, 18703, 18706, 18709, 18712]"
643,وزار,[12750]
644,وسایل,[6098]
645,وسع,"[2407, 14280]"
646,وق,"[2782, 5576, 12858, 26850, 26851, 26852, 26853, 26854, 26855, 26856, 26857, 26858, 26859, 26860, 26861]"
647,ومحیط,[2517]
648,ومواد,[2303]
649,ومولکول,[3644]
650,ویدئو,[7110]
651,ویژه,[14008]
652,ویکی‌پدیا,[44]
653,پا,"[201, 7726, 16866, 16867, 16868, 16869]"
654,پارک,"[13881, 27817]"
655,پایان‌نامه,[9148]
656,پایه,[203]
657,پرداخ,"[10873, 21783, 21787, 21791, 21795, 21799]"
658,پرستار,[5278]
659,پرندگ,[2729]
660,پرور,"[5705, 11477, 24241]"
661,پروژه,[11761]
662,پزشک,"[2676, 5368, 11107, 22500, 22503, 22506, 22509, 22512, 22515]"
663,پس,"[2586, 6902, 15322, 15323]"
664,پسرانه,[12985]
665,پلیمر,[5511]
666,پوس,[11656]
667,پژوه,"[551, 1326, 7962, 16840, 16843, 16846, 16849, 16852, 16855, 16858, 16861, 16864]"
668,پژوهش,"[552, 1328, 7965, 16844, 16848, 16852, 16856, 16860, 16864, 16868, 16872, 16876]"
669,پژوهشگر,"[8881, 17809, 17815]"
670,پیدا,[4494]
671,پیشرفته,"[6078, 19335]"
672,پیشینه,[911]
673,پیش‌دانشگاه,[12967]
674,پیوسته,"[1415, 2841, 7692, 7697, 7702, 7707, 7712, 7717]"
675,پیوند,[14224]
676,پیگیری,[8120]
677,چاپ,"[8664, 17359, 17361, 17363]"
678,چمن,[14066]
679,چند,"[2628, 9723, 9725]"
680,چندین,"[7097, 14257]"
681,چوب,"[2637, 7422, 7424, 7426, 7428, 7430]"
682,ژنتیک,"[2325, 6274, 6278]"
683,کابین,[7166]
684,کار,"[405, 845, 1820, 3768, 7626, 15281, 15283, 15285, 15287, 15289, 15291, 15293, 15295, 15297, 15299, 15301, 15303, 15305, 15307, 15309, 15311, 15313, 15315, 15317, 15319, 15321, 15323, 15325, 15327, 15329, 15331, 15333, 15335, 15337]"
685,کارا,"[10214, 20846]"
686,کاربر,"[1950, 3932, 9138, 21476, 21480, 21484, 21488, 21492, 21496]"
687,کاربرد,"[1951, 3934, 9141, 9146, 9151, 9156, 9161, 9166]"
688,کاردان,"[1435, 7183, 7188]"
689,کارشناس,"[1392, 2799, 5741, 16351, 16357, 16363]"
690,کارمند,[408]
691,کارکن,"[977, 12447]"
692,کارگاه,"[6009, 12067]"
693,کاغذ,"[2656, 8623]"
694,کامپیو,"[2255, 7911, 7916]"
695,کاه,[9095]
696,کتاب,"[6146, 12334, 12337, 12340, 12343, 12346, 12349, 12352, 12355]"
697,کتابخانه,"[6150, 12342, 12349, 12356, 12363]"
698,کتابخوان,[7490]
699,کرج,"[30, 120, 781, 1722, 7759, 15776, 15778, 15780, 15782, 15784, 15786, 15788, 15790, 15792, 15794, 15796, 15798, 15800, 15802, 15804, 15806, 15808, 15810, 15812, 15814, 15816]"
700,کرد,"[1212, 11678]"
701,کسب,"[897, 5964]"
702,کشاورز,"[2391, 4806, 11622, 25030, 25035, 25040, 25045, 25050, 25055, 25060, 25065, 25070, 25075, 25080, 25085, 25090, 25095, 25100, 25105, 25110, 25115, 25120, 25125, 25130, 25135, 25140, 25145, 25150]"
703,کشور,"[533, 1170, 10580, 10583, 10586]"
704,کلا,"[2170, 7191, 17708]"
705,کلینیک,[13691]
706,کمتر,[10791]
707,کمک,"[994, 10125, 10127]"
708,کمیته,[10339]
709,کمیسیون,[7832]
710,کنترل,[7181]
711,کند,"[901, 9960]"
712,کنند,"[9524, 20757]"
713,کنکور,[8970]
714,که,"[309, 1481, 7592, 15409, 15410, 15411, 15412, 15413, 15414, 15415, 15416, 15417, 15418, 15419, 15420, 15421, 15422, 15423, 15424, 15425, 15426, 15427, 15428]"
715,کوتاه,[10894]
716,کودک,[11603]
717,کوه,[198]
718,کوچک,[13947]
719,کیف,"[2798, 16556]"
720,کیفر,[2799]
721,کیوسک,[6401]
722,گذران,[13999]
723,گر,"[1228, 2542, 5507, 11435, 23575, 23576, 23577, 23578, 23579, 23580, 23581, 23582, 23583, 23584, 23585, 23586, 23587, 23588, 23589, 23590, 23591, 23592, 23593, 23594, 23595, 23596, 23597, 23598, 23599, 23600, 23601, 23602]"
724,گرا,"[1229, 2566, 5532, 14414, 14416, 14418, 14420, 14422, 14424, 14426, 14428, 14430, 14432, 14434, 14436, 14438, 14440, 14442, 14444, 14446, 14448]"
725,گرایش,"[1231, 2570, 5538, 5542, 5546, 5550, 5554, 5558, 5562, 5566, 5570, 5574, 5578, 5582, 5586, 5590, 5594, 5598]"
726,گردیده,[12398]
727,گروه,"[9304, 18790]"
728,گستر,[9969]
729,گف,[13986]
730,گل,"[1636, 3292, 7541, 21427, 21428, 21429, 21430, 21431, 21432, 21433, 21434, 21435]"
731,گنجا,"[13208, 26564, 26567, 26570, 26573]"
732,گوناگون,[10080]
733,گوهرد,[181]
734,گپ,[13981]
735,گیاه,"[2341, 4942, 10235, 10238, 10241, 10244]"
736,یا,"[44, 364, 1421, 2974, 5977, 12100, 24302, 24303, 24304, 24305, 24306, 24307, 24308, 24309, 24310, 24311, 24312, 24313, 24314, 24315, 24316, 24317, 24318, 24319, 24320, 24321, 24322, 24323, 24324, 24325, 24326, 24327, 24328, 24329, 24330, 24331, 24332, 24333, 24334, 24335, 24336, 24337, 24338, 24339, 24340, 24341, 24342, 24343, 24344, 24345, 24346, 24347, 24348, 24349, 24350, 24351, 24352, 24353, 24354, 24355, 24356, 24357, 24358, 24359, 24360, 24361, 24362, 24363, 24364, 24365, 24366, 24367, 24368, 24369, 24370, 24371, 24372, 24373, 24374, 24375, 24376, 24377, 24378, 24379, 24380, 24381, 24382, 24383, 24384, 24385, 24386, 24387, 24388, 24389, 24390, 24391, 24392, 24393, 24394, 24395, 24396, 24397, 24398, 24399, 24400, 24401, 24402, 24403, 24404, 24405, 24406, 24407, 24408, 24409, 24410, 24411, 24412, 24413, 24414, 24415, 24416, 24417, 24418, 24419, 24420, 24421]"
737,یک,"[38, 499, 2557, 5982, 12165, 25856, 25857, 25858, 25859, 25860, 25861, 25862, 25863, 25864, 25865, 25866, 25867, 25868, 25869, 25870, 25871, 25872, 25873, 25874, 25875, 25876, 25877, 25878, 25879, 25880, 25881]"
738,۱,"[950, 6995, 15573]"
739,۱۱,"[6225, 12565, 26190]"
740,۱۱۰۹,[6342]
741,۱۳۶۳,[953]
742,۱۴۰,[6047]
743,۱۴۵۰,[6599]
744,۱۵۰,[13362]
745,۱۷,[11388]
746,۱۸,[8579]
747,۱۹,[11976]
748,۲,"[1112, 2436, 8733, 22168]"
749,۲۰,"[6298, 12693, 26129, 26130, 26131]"
750,۲۰۰,"[13437, 26925, 26927]"
751,۲۰۱۲۱۲۲۸۰۰۵۹۲۸/,[]
752,۲۰۳۰۰۰,[6302]
753,۲۵,"[1113, 2438, 10390]"
754,۲۵۰,[1326]
755,۲۸,[6730]
756,۴*۳,[6480]
757,۴۰۰۰,[9858]
758,۴۳,[844]
759,۴۵,"[235, 969, 7567]"
760,۴۷,[11893]
761,۵۰۰,"[335, 1471, 7995, 20994]"
762,۵۰۰۰,[336]
763,۵۴۶۷,[6374]
764,۷,"[379, 1464, 7838, 19226]"
765,۷۰۰,[381]
766,۸,"[466, 7196, 15775]"
767,۸۰۰,"[468, 13682]"
768,۸۰۰۰۰,[470]
769,۸۵,[12296]
770,۹,"[399, 6741, 18717]"
771,۹۰۰,[401]
772,–,"[1753, 3519]"
773,…,[]
